alt	azi	rO	eta_cos	eta_blk	eta_att	eta_hbi	eta_tdi	eta_tdr	eta_BDR	eta_SF	Qmax
90.0000	0.0000	1.7909	0.7955	0.9850	0.9789	0.9508	0.9983	0.9528	0.8598	0.6284	1041.2817
90.0000	5.0000	1.7909	0.7957	0.9852	0.9789	0.9508	0.9981	0.9528	0.8597	0.6286	1040.1812
90.0000	10.0000	1.7909	0.7957	0.9852	0.9789	0.9503	0.9982	0.9529	0.8594	0.6284	1019.5825
90.0000	15.0000	1.7909	0.7955	0.9851	0.9789	0.9504	0.9981	0.9527	0.8593	0.6281	1069.9418
90.0000	20.0000	1.7909	0.7956	0.9852	0.9789	0.9506	0.9981	0.9528	0.8595	0.6284	1003.9068
90.0000	25.0000	1.7909	0.7955	0.9852	0.9789	0.9510	0.9982	0.9528	0.8600	0.6286	1044.8326
90.0000	30.0000	1.7909	0.7957	0.9852	0.9789	0.9506	0.9982	0.9529	0.8597	0.6286	1035.5136
90.0000	45.0000	1.7909	0.7956	0.9851	0.9789	0.9507	0.9982	0.9528	0.8597	0.6284	1039.4463
90.0000	60.0000	1.7909	0.7956	0.9851	0.9789	0.9509	0.9982	0.9528	0.8599	0.6286	1020.0466
90.0000	75.0000	1.7909	0.7955	0.9851	0.9789	0.9505	0.9981	0.9528	0.8595	0.6283	1019.9381
90.0000	90.0000	1.7909	0.7956	0.9852	0.9789	0.9502	0.9982	0.9529	0.8593	0.6282	1019.5171
90.0000	105.0000	1.7909	0.7956	0.9852	0.9789	0.9509	0.9983	0.9528	0.8600	0.6286	1014.4100
90.0000	120.0000	1.7909	0.7956	0.9852	0.9789	0.9510	0.9982	0.9528	0.8600	0.6287	1006.7067
90.0000	135.0000	1.7909	0.7956	0.9851	0.9789	0.9504	0.9982	0.9528	0.8594	0.6283	1074.9489
90.0000	150.0000	1.7909	0.7957	0.9854	0.9789	0.9509	0.9982	0.9529	0.8600	0.6289	1097.9373
80.0000	0.0000	1.7909	0.7932	0.9834	0.9789	0.9509	0.9982	0.9530	0.8599	0.6250	1045.7668
80.0000	5.0000	1.7909	0.7933	0.9836	0.9789	0.9507	0.9982	0.9528	0.8596	0.6250	1046.7037
80.0000	10.0000	1.7909	0.7931	0.9833	0.9789	0.9504	0.9982	0.9529	0.8595	0.6246	1051.5031
80.0000	15.0000	1.7909	0.7931	0.9833	0.9789	0.9507	0.9982	0.9529	0.8598	0.6248	1064.6222
80.0000	20.0000	1.7909	0.7930	0.9835	0.9789	0.9507	0.9982	0.9528	0.8598	0.6248	1054.9317
80.0000	25.0000	1.7909	0.7929	0.9835	0.9789	0.9501	0.9983	0.9528	0.8592	0.6244	1024.3833
80.0000	30.0000	1.7909	0.7929	0.9835	0.9789	0.9501	0.9982	0.9529	0.8592	0.6244	1097.9029
80.0000	45.0000	1.7909	0.7925	0.9833	0.9789	0.9509	0.9981	0.9529	0.8599	0.6245	1024.9460
80.0000	60.0000	1.7909	0.7921	0.9834	0.9789	0.9510	0.9982	0.9528	0.8599	0.6244	1023.9062
80.0000	75.0000	1.7909	0.7917	0.9834	0.9789	0.9504	0.9981	0.9528	0.8594	0.6239	1060.3575
80.0000	90.0000	1.7909	0.7912	0.9834	0.9789	0.9508	0.9981	0.9528	0.8597	0.6239	1053.8685
80.0000	105.0000	1.7909	0.7907	0.9834	0.9789	0.9505	0.9981	0.9528	0.8595	0.6234	1023.3577
80.0000	120.0000	1.7909	0.7901	0.9833	0.9789	0.9509	0.9982	0.9528	0.8599	0.6234	1057.4403
80.0000	135.0000	1.7909	0.7899	0.9833	0.9789	0.9502	0.9981	0.9528	0.8593	0.6229	1045.5038
80.0000	150.0000	1.7909	0.7896	0.9835	0.9789	0.9505	0.9981	0.9529	0.8595	0.6230	1053.6498
70.0000	0.0000	1.7909	0.7850	0.9805	0.9789	0.9499	0.9983	0.9529	0.8591	0.6155	1047.5454
70.0000	5.0000	1.7909	0.7853	0.9809	0.9789	0.9499	0.9982	0.9530	0.8591	0.6161	987.6779
70.0000	10.0000	1.7909	0.7852	0.9811	0.9789	0.9501	0.9982	0.9530	0.8593	0.6163	1067.1236
70.0000	15.0000	1.7909	0.7850	0.9810	0.9789	0.9501	0.9982	0.9530	0.8593	0.6161	1027.1414
70.0000	20.0000	1.7909	0.7850	0.9811	0.9789	0.9497	0.9981	0.9530	0.8589	0.6159	1069.3055
70.0000	25.0000	1.7909	0.7848	0.9808	0.9789	0.9499	0.9981	0.9529	0.8590	0.6156	1051.1664
70.0000	30.0000	1.7909	0.7847	0.9812	0.9789	0.9498	0.9982	0.9530	0.8591	0.6160	1037.7730
70.0000	45.0000	1.7909	0.7841	0.9809	0.9789	0.9495	0.9982	0.9531	0.8589	0.6153	1023.8896
70.0000	60.0000	1.7909	0.7833	0.9811	0.9789	0.9499	0.9980	0.9529	0.8589	0.6151	1038.2156
70.0000	75.0000	1.7909	0.7823	0.9809	0.9789	0.9496	0.9980	0.9529	0.8586	0.6142	1082.0132
70.0000	90.0000	1.7909	0.7813	0.9809	0.9789	0.9497	0.9980	0.9529	0.8588	0.6139	1015.4666
70.0000	105.0000	1.7909	0.7803	0.9810	0.9789	0.9500	0.9980	0.9529	0.8590	0.6136	1097.9294
70.0000	120.0000	1.7909	0.7793	0.9809	0.9789	0.9496	0.9979	0.9528	0.8586	0.6128	1090.3532
70.0000	135.0000	1.7909	0.7786	0.9809	0.9789	0.9494	0.9979	0.9528	0.8584	0.6123	1018.7440
70.0000	150.0000	1.7909	0.7781	0.9811	0.9789	0.9499	0.9979	0.9529	0.8589	0.6125	1011.9919
60.0000	0.0000	1.7909	0.7742	0.9801	0.9789	0.9491	0.9979	0.9530	0.8582	0.6057	1119.6640
60.0000	5.0000	1.7909	0.7742	0.9802	0.9789	0.9485	0.9980	0.9531	0.8577	0.6055	1028.8060
60.0000	10.0000	1.7909	0.7740	0.9800	0.9789	0.9488	0.9980	0.9531	0.8582	0.6055	1053.0953
60.0000	15.0000	1.7909	0.7740	0.9801	0.9789	0.9490	0.9980	0.9530	0.8582	0.6055	1026.3899
60.0000	20.0000	1.7909	0.7739	0.9805	0.9789	0.9486	0.9980	0.9531	0.8579	0.6055	1032.9168
60.0000	25.0000	1.7909	0.7735	0.9801	0.9789	0.9488	0.9981	0.9529	0.8580	0.6052	1043.9514
60.0000	30.0000	1.7909	0.7735	0.9803	0.9789	0.9490	0.9981	0.9530	0.8582	0.6056	1018.0389
60.0000	45.0000	1.7909	0.7725	0.9801	0.9789	0.9489	0.9980	0.9530	0.8581	0.6049	1033.3138
60.0000	60.0000	1.7909	0.7713	0.9803	0.9789	0.9491	0.9978	0.9530	0.8581	0.6044	1082.6653
60.0000	75.0000	1.7909	0.7697	0.9800	0.9789	0.9487	0.9978	0.9529	0.8577	0.6030	1026.8939
60.0000	90.0000	1.7909	0.7685	0.9802	0.9789	0.9491	0.9977	0.9530	0.8581	0.6030	1093.8224
60.0000	105.0000	1.7909	0.7669	0.9801	0.9789	0.9490	0.9977	0.9529	0.8579	0.6020	1073.5579
60.0000	120.0000	1.7909	0.7656	0.9802	0.9789	0.9488	0.9977	0.9529	0.8577	0.6013	1037.3816
60.0000	135.0000	1.7909	0.7645	0.9801	0.9789	0.9486	0.9977	0.9528	0.8576	0.6006	980.1383
60.0000	150.0000	1.7909	0.7636	0.9802	0.9789	0.9488	0.9978	0.9526	0.8577	0.6002	983.2153
50.0000	0.0000	1.7909	0.7605	0.9823	0.9789	0.9475	0.9979	0.9532	0.8569	0.5947	1088.3307
50.0000	5.0000	1.7909	0.7605	0.9823	0.9789	0.9474	0.9977	0.9531	0.8566	0.5945	1057.1734
50.0000	10.0000	1.7909	0.7605	0.9824	0.9789	0.9475	0.9980	0.9531	0.8569	0.5947	1064.8011
50.0000	15.0000	1.7909	0.7604	0.9825	0.9789	0.9481	0.9979	0.9532	0.8574	0.5952	1039.1335
50.0000	20.0000	1.7909	0.7601	0.9825	0.9789	0.9474	0.9981	0.9531	0.8569	0.5947	1043.3718
50.0000	25.0000	1.7909	0.7599	0.9824	0.9789	0.9477	0.9980	0.9531	0.8572	0.5948	1062.5805
50.0000	30.0000	1.7909	0.7594	0.9822	0.9789	0.9473	0.9981	0.9531	0.8568	0.5941	1046.9919
50.0000	45.0000	1.7909	0.7582	0.9823	0.9789	0.9476	0.9978	0.9531	0.8569	0.5936	1093.5976
50.0000	60.0000	1.7909	0.7567	0.9823	0.9789	0.9474	0.9975	0.9531	0.8566	0.5928	1112.1027
50.0000	75.0000	1.7909	0.7549	0.9823	0.9789	0.9476	0.9972	0.9530	0.8564	0.5919	1095.0321
50.0000	90.0000	1.7909	0.7529	0.9823	0.9789	0.9472	0.9970	0.9531	0.8560	0.5905	1125.0859
50.0000	105.0000	1.7909	0.7510	0.9824	0.9789	0.9473	0.9971	0.9529	0.8560	0.5898	1066.5409
50.0000	120.0000	1.7909	0.7494	0.9826	0.9789	0.9472	0.9973	0.9527	0.8560	0.5890	1063.9539
50.0000	135.0000	1.7909	0.7478	0.9823	0.9789	0.9470	0.9975	0.9527	0.8560	0.5880	996.5443
50.0000	150.0000	1.7909	0.7468	0.9825	0.9789	0.9469	0.9976	0.9529	0.8561	0.5877	1006.3943
40.0000	0.0000	1.7909	0.7421	0.9837	0.9789	0.9460	0.9975	0.9535	0.8555	0.5796	1073.8142
40.0000	5.0000	1.7909	0.7421	0.9837	0.9789	0.9464	0.9976	0.9536	0.8560	0.5799	1078.5242
40.0000	10.0000	1.7909	0.7420	0.9840	0.9789	0.9463	0.9976	0.9535	0.8558	0.5799	1065.8645
40.0000	15.0000	1.7909	0.7416	0.9839	0.9789	0.9463	0.9977	0.9534	0.8558	0.5796	1104.6412
40.0000	20.0000	1.7909	0.7414	0.9839	0.9789	0.9463	0.9977	0.9535	0.8559	0.5796	1004.7975
40.0000	25.0000	1.7909	0.7411	0.9838	0.9789	0.9458	0.9976	0.9533	0.8552	0.5790	1026.8098
40.0000	30.0000	1.7909	0.7408	0.9838	0.9789	0.9461	0.9976	0.9533	0.8556	0.5791	1057.3838
40.0000	45.0000	1.7909	0.7392	0.9840	0.9789	0.9460	0.9974	0.9532	0.8552	0.5782	1029.9305
40.0000	60.0000	1.7909	0.7371	0.9838	0.9789	0.9460	0.9970	0.9533	0.8551	0.5770	1108.0838
40.0000	75.0000	1.7909	0.7346	0.9839	0.9789	0.9457	0.9964	0.9531	0.8542	0.5754	1122.7767
40.0000	90.0000	1.7909	0.7324	0.9838	0.9789	0.9456	0.9961	0.9531	0.8539	0.5741	1081.6184
40.0000	105.0000	1.7909	0.7302	0.9839	0.9789	0.9454	0.9964	0.9531	0.8539	0.5732	1051.6296
40.0000	120.0000	1.7909	0.7280	0.9840	0.9789	0.9457	0.9968	0.9530	0.8545	0.5724	1024.0357
40.0000	135.0000	1.7909	0.7262	0.9837	0.9789	0.9449	0.9971	0.9527	0.8539	0.5711	998.2271
40.0000	150.0000	1.7909	0.7248	0.9838	0.9789	0.9450	0.9970	0.9528	0.8540	0.5705	965.3254
30.0000	0.0000	1.7909	0.7170	0.9838	0.9789	0.9449	0.9967	0.9534	0.8538	0.5585	1035.2482
30.0000	5.0000	1.7909	0.7170	0.9839	0.9789	0.9445	0.9971	0.9535	0.8538	0.5586	1073.9792
30.0000	10.0000	1.7909	0.7169	0.9838	0.9789	0.9439	0.9970	0.9533	0.8531	0.5581	988.9318
30.0000	15.0000	1.7909	0.7168	0.9838	0.9789	0.9445	0.9970	0.9535	0.8538	0.5586	1004.7262
30.0000	20.0000	1.7909	0.7165	0.9838	0.9789	0.9444	0.9972	0.9534	0.8537	0.5583	1041.6899
30.0000	25.0000	1.7909	0.7160	0.9839	0.9789	0.9443	0.9971	0.9536	0.8538	0.5581	1026.7176
30.0000	30.0000	1.7909	0.7156	0.9840	0.9789	0.9446	0.9970	0.9534	0.8538	0.5581	1040.7614
30.0000	45.0000	1.7909	0.7135	0.9838	0.9789	0.9446	0.9968	0.9533	0.8537	0.5569	1076.2404
30.0000	60.0000	1.7909	0.7113	0.9840	0.9789	0.9439	0.9963	0.9531	0.8524	0.5554	1041.6736
30.0000	75.0000	1.7909	0.7081	0.9838	0.9789	0.9437	0.9956	0.9529	0.8517	0.5532	1124.5616
30.0000	90.0000	1.7909	0.7056	0.9839	0.9789	0.9439	0.9952	0.9530	0.8516	0.5523	1086.9495
30.0000	105.0000	1.7909	0.7029	0.9840	0.9789	0.9438	0.9953	0.9528	0.8516	0.5509	1024.7018
30.0000	120.0000	1.7909	0.7005	0.9841	0.9789	0.9434	0.9959	0.9529	0.8518	0.5499	1060.2640
30.0000	135.0000	1.7909	0.6986	0.9840	0.9789	0.9432	0.9960	0.9528	0.8516	0.5490	982.7086
30.0000	150.0000	1.7909	0.6969	0.9839	0.9789	0.9433	0.9962	0.9529	0.8520	0.5481	1008.1297
20.0000	0.0000	1.7909	0.6867	0.9836	0.9789	0.9418	0.9954	0.9533	0.8498	0.5327	1015.1773
20.0000	5.0000	1.7909	0.6869	0.9833	0.9789	0.9414	0.9958	0.9531	0.8497	0.5325	984.2806
20.0000	10.0000	1.7909	0.6864	0.9836	0.9789	0.9418	0.9960	0.9532	0.8503	0.5327	1033.1036
20.0000	15.0000	1.7909	0.6861	0.9835	0.9789	0.9416	0.9961	0.9531	0.8501	0.5323	1030.3365
