,Tp,T_amb,Qavg,eta_rcv
0,600,268.15,0.25,0.8324898946754046
1,600,268.15,0.5,0.8532674795082446
2,600,268.15,0.75,0.8601933411155712
3,600,268.15,1.0,0.8636562719165203
4,600,268.15,1.25,0.8657340303949189
5,600,268.15,1.5,0.8671192027120428
6,600,268.15,1.75,0.8681086115084384
7,600,268.15,2.0,0.8688506681043795
8,600,273.15,0.25,0.8331286510662953
9,600,273.15,0.5,0.8535868572189748
10,600,273.15,0.75,0.8604062592663024
11,600,273.15,1.0,0.8638159602872931
12,600,273.15,1.25,0.8658617808977492
13,600,273.15,1.5,0.8672256613029387
14,600,273.15,1.75,0.8681998615908332
15,600,273.15,2.0,0.8689305118054187
16,600,278.15,0.25,0.8337665405965144
17,600,278.15,0.5,0.8539058014993692
18,600,278.15,0.75,0.8606188884634767
19,600,278.15,1.0,0.8639754319428978
20,600,278.15,1.25,0.8659893580284451
21,600,278.15,1.5,0.8673319754170559
22,600,278.15,1.75,0.868290987835989
23,600,278.15,2.0,0.869010247148874
24,600,283.15,0.25,0.8344035976038813
25,600,283.15,0.5,0.8542243295183375
26,600,283.15,0.75,0.8608312401530333
27,600,283.15,1.0,0.8641346954677896
28,600,283.15,1.25,0.8661167686545707
29,600,283.15,1.5,0.8674381507773644
30,600,283.15,1.75,0.8683819951493088
31,600,283.15,2.0,0.8690898784269727
32,600,288.15,0.25,0.8350398560528838
33,600,288.15,0.5,0.8545424582581237
34,600,288.15,0.75,0.8610433256564685
35,600,288.15,1.0,0.8642937593530903
36,600,288.15,1.25,0.8662440195690233
37,600,288.15,1.5,0.8675441930446124
38,600,288.15,1.75,0.8684728883828624
39,600,288.15,2.0,0.8691694098852759
40,600,293.15,0.25,0.8356753495227733
41,600,293.15,0.5,0.8548602045083533
42,600,293.15,0.75,0.8612551561668661
43,600,293.15,1.0,0.8644526319936127
44,600,293.15,1.25,0.8663711174876533
45,600,293.15,1.5,0.8676501078153414
46,600,293.15,1.75,0.8685636723336856
47,600,293.15,2.0,0.86924884572119
48,600,298.15,0.25,0.8363101111931551
49,600,298.15,0.5,0.8551775848588291
50,600,298.15,0.75,0.8614667427440943
51,600,298.15,1.0,0.8646113216842581
52,600,298.15,1.25,0.8664980690463818
53,600,298.15,1.5,0.8677559006194858
54,600,298.15,1.75,0.8686543517417218
55,600,298.15,2.0,0.8693281900821656
56,600,303.15,0.25,0.8369441738269638
57,600,303.15,0.5,0.8554946156910184
58,600,303.15,0.75,0.8616780963091317
59,600,303.15,1.0,0.8647698366157603
60,600,303.15,1.25,0.8666248807977958
61,600,303.15,1.5,0.8678615769175347
62,600,303.15,1.75,0.8687449312873905
63,600,303.15,2.0,0.8694074470635695
64,600,308.15,0.25,0.8375775697507006
65,600,308.15,0.5,0.8558113131681717
66,600,308.15,0.75,0.8618892276374784
67,600,308.15,1.0,0.8649281848697445
68,600,308.15,1.25,0.866751559207195
69,600,308.15,1.5,0.8679671420972382
70,600,308.15,1.75,0.8688354155887632
71,600,308.15,2.0,0.8694866207062145
72,600,313.15,0.25,0.8382103308317891
73,600,313.15,0.5,0.8561276932240007
74,600,313.15,0.75,0.8621001473516089
75,600,313.15,1.0,0.8650863744130668
76,600,313.15,1.25,0.866878110648065
77,600,313.15,1.5,0.8680726014698339
78,600,313.15,1.75,0.868925809198329
79,600,313.15,2.0,0.8695657149935284
80,600,318.15,0.25,0.8388424884528938
81,600,318.15,0.5,0.856443771549838
82,600,318.15,0.75,0.8623108659124115
83,600,318.15,1.0,0.865244413091393
84,600,318.15,1.25,0.8670045413969382
85,600,318.15,1.5,0.8681779602657654
86,600,318.15,1.75,0.8690161165993258
87,600,318.15,2.0,0.8696447338483445
88,600,323.15,0.25,0.8394740734830205
89,600,323.15,0.5,0.8567595635801862
90,600,323.15,0.75,0.8625213936095548
91,600,323.15,1.0,0.8654023086219746
92,600,323.15,1.25,0.8671308576276155
93,600,323.15,1.5,0.8682832236298672
94,600,323.15,1.75,0.8691063422016113
95,600,323.15,2.0,0.8697236811292882
96,600,328.15,0.25,0.8401051162451936
97,600,328.15,0.5,0.8570750844765577
98,600,328.15,0.75,0.8627317405507136
99,600,328.15,1.0,0.865560068585568
100,600,328.15,1.25,0.8672570654047023
101,600,328.15,1.5,0.8683883966159769
102,600,328.15,1.75,0.8691964903370463
103,600,328.15,2.0,0.8698025606267377
104,700,268.15,0.25,0.8146890171758139
105,700,268.15,0.5,0.8443670340124191
106,700,268.15,0.75,0.85425970628955
107,700,268.15,1.0,0.8592060424268128
108,700,268.15,1.25,0.8621738441081281
109,700,268.15,1.5,0.8641523785614702
110,700,268.15,1.75,0.8655656174559703
111,700,268.15,2.0,0.8666255466261945
112,700,273.15,0.25,0.81533930931544
113,700,273.15,0.5,0.8446921797878647
114,700,273.15,0.75,0.8544764699436223
115,700,273.15,1.0,0.8593686150202134
116,700,273.15,1.25,0.862303902065138
117,700,273.15,1.5,0.8642607600942295
118,700,273.15,1.75,0.8656585158285592
119,700,273.15,2.0,0.8667068326286632
120,700,278.15,0.25,0.815989316527222
121,700,278.15,0.5,0.8450171830993883
122,700,278.15,0.75,0.8546931386217467
123,700,278.15,1.0,0.859531116381653
124,700,278.15,1.25,0.862433903036579
125,700,278.15,1.5,0.8643690941390147
126,700,278.15,1.75,0.8657513734971705
127,700,278.15,2.0,0.8667880830151514
128,700,283.15,0.25,0.8166390774705731
129,700,283.15,0.5,0.8453420632766965
130,700,283.15,0.75,0.8549097252103939
131,700,283.15,1.0,0.8596935561759851
132,700,283.15,1.25,0.8625638547543337
133,700,283.15,1.5,0.8644773871390615
134,700,283.15,1.75,0.8658441959845773
135,700,283.15,2.0,0.8668693026180856
136,700,288.15,0.25,0.8172886309818824
137,700,288.15,0.5,0.8456668397379837
138,700,288.15,0.75,0.8551262426550273
139,700,288.15,1.0,0.8598559441123065
140,700,288.15,1.25,0.8626937649856802
141,700,288.15,1.5,0.8645856455671013
142,700,288.15,1.75,0.8659369888388352
143,700,288.15,2.0,0.8669504962920147
144,700,293.15,0.25,0.8179380160738761
145,700,293.15,0.5,0.8459915319896132
146,700,293.15,0.75,0.8553427039598887
147,700,293.15,1.0,0.860018289943799
148,700,293.15,1.25,0.8628236415331635
149,700,293.15,1.5,0.864693875925255
150,700,293.15,1.75,0.8660297576331909
151,700,293.15,2.0,0.8670316689135293
152,700,298.15,0.25,0.8185872719341535
153,700,298.15,0.5,0.8463161596253844
154,700,298.15,0.75,0.8555591221875115
155,700,298.15,1.0,0.8601806034673625
156,700,298.15,1.25,0.8629534922343035
157,700,298.15,1.5,0.8648020847447896
158,700,298.15,1.75,0.8661225079658728
159,700,298.15,2.0,0.8671128253810794
160,700,303.15,0.25,0.8192364379228848
161,700,303.15,0.5,0.8466407423253828
162,700,303.15,0.75,0.8557755104579522
163,700,303.15,1.0,0.8603428945230396
164,700,303.15,1.25,0.8630833249611345
165,700,303.15,1.5,0.864910278585733
166,700,303.15,1.75,0.8662152454597625
167,700,303.15,2.0,0.8671939706146863
168,700,308.15,0.25,0.8198855535696524
169,700,308.15,0.5,0.8469652998543992
170,700,308.15,0.75,0.8559918819477383
171,700,308.15,1.0,0.8605051729932257
172,700,308.15,1.25,0.8632131476195725
173,700,308.15,1.5,0.8650184640363492
174,700,308.15,1.75,0.866307975761943
175,700,308.15,2.0,0.8672751095555477
176,700,313.15,0.25,0.8205346585694198
177,700,313.15,0.5,0.8472898520599154
178,700,313.15,0.75,0.8562082498885243
179,700,313.15,1.0,0.8606674488016617
180,700,313.15,1.25,0.8633429681486104
181,700,313.15,1.5,0.8651266477124653
182,700,313.15,1.75,0.8664007045431236
183,700,313.15,2.0,0.8673562471655341
184,700,318.15,0.25,0.8211837927776036
185,700,318.15,0.5,0.84761441886964
186,700,318.15,0.75,0.8564246275654492
187,700,318.15,1.0,0.8608297319122018
188,700,318.15,1.25,0.8634727945193319
189,700,318.15,1.5,0.8652348362566509
190,700,318.15,1.75,0.8664934374969349
191,700,318.15,2.0,0.8674373884265724
192,700,323.15,0.25,0.8218329962042272
193,700,323.15,0.5,0.8479390202885844
194,700,323.15,0.75,0.8566410283151873
195,700,323.15,1.0,0.8609920323273519
196,700,323.15,1.25,0.8636026347337411
197,700,323.15,1.5,0.8653430363372431
198,700,323.15,1.75,0.866586180339095
199,700,323.15,2.0,0.8675185383399159
200,700,328.15,0.25,0.8224823090071264
201,700,328.15,0.5,0.8482636763956666
202,700,328.15,0.75,0.8568574655236839
203,700,328.15,1.0,0.8611543600865708
204,700,328.15,1.25,0.8637324968234056
205,700,328.15,1.5,0.8654512546472145
206,700,328.15,1.75,0.8666789388064371
207,700,328.15,2.0,0.8675997019252937
208,800,268.15,0.25,0.7934096517741656
209,800,268.15,0.5,0.8337273463009117
210,800,268.15,0.75,0.8471665778089177
211,800,268.15,1.0,0.8538861935622386
212,800,268.15,1.25,0.8579179630136856
213,800,268.15,1.5,0.8606058093141956
214,800,268.15,1.75,0.8625256995284561
215,800,268.15,2.0,0.8639656171888105
216,800,273.15,0.25,0.7940674585518622
217,800,273.15,0.5,0.8340562494978467
218,800,273.15,0.75,0.8473858464789406
219,800,273.15,1.0,0.8540506449688119
220,800,273.15,1.25,0.8580495240621943
221,800,273.15,1.5,0.8607154434573322
222,800,273.15,1.75,0.8626196715963304
223,800,273.15,2.0,0.8640478427002415
224,800,278.15,0.25,0.79472536966986
225,800,278.15,0.5,0.8343852048649321
226,800,278.15,0.75,0.8476051499290638
227,800,278.15,1.0,0.8542151224604605
228,800,278.15,1.25,0.8581811059787632
229,800,278.15,1.5,0.8608250949905188
230,800,278.15,1.75,0.8627136585699622
231,800,278.15,2.0,0.8641300812542101
232,800,283.15,0.25,0.7953834251886862
233,800,283.15,0.5,0.8347142324324318
234,800,283.15,0.75,0.8478245015127966
235,800,283.15,1.0,0.8543796360523161
236,800,283.15,1.25,0.8583127167754977
237,800,283.15,1.5,0.8609347705905103
238,800,283.15,1.75,0.8628076661722835
239,800,283.15,2.0,0.8642123378582821
240,800,288.15,0.25,0.7960416655951705
241,800,288.15,0.5,0.8350433524437606
242,800,288.15,0.75,0.8480439147257487
243,800,288.15,1.0,0.8545441958660863
244,800,288.15,1.25,0.8584443645497639
245,800,288.15,1.5,0.8610444770051114
246,800,288.15,1.75,0.8629017001871275
247,800,288.15,2.0,0.8642946175733116
248,800,293.15,0.25,0.7967001318034738
249,800,293.15,0.5,0.8353725853559989
250,800,293.15,0.75,0.8482634032059738
251,800,293.15,1.0,0.8547088121303112
252,800,293.15,1.25,0.8585760574843939
253,800,293.15,1.5,0.861154221053349
254,800,293.15,1.75,0.8629957664593743
255,800,293.15,2.0,0.8643769255135684
256,800,298.15,0.25,0.7973588651557539
257,800,298.15,0.5,0.8357019518402256
258,800,298.15,0.75,0.8484829807341912
259,800,298.15,1.0,0.8548734951805306
260,800,298.15,1.25,0.8587078038478192
261,800,298.15,1.5,0.8612640096255828
262,800,298.15,1.75,0.8630898708950462
263,800,298.15,2.0,0.8644592668468222
264,800,303.15,0.25,0.7980179074224899
265,800,303.15,0.5,0.8360314727816801
266,800,303.15,0.75,0.8487026612338938
267,800,303.15,1.0,0.8550382554593636
268,800,303.15,1.25,0.8588396119941357
269,800,303.15,1.5,0.8613738496835592
270,800,303.15,1.75,0.8631840194613548
271,800,303.15,2.0,0.8645416467943832
272,800,308.15,0.25,0.7986773008024448
273,800,308.15,0.5,0.8363611692797441
274,800,308.15,0.75,0.8489224587713362
275,800,308.15,1.0,0.8552031035165014
276,800,308.15,1.25,0.8589714903630961
277,800,308.15,1.5,0.8614837482604054
278,800,308.15,1.75,0.8632782181866947
279,800,308.15,2.0,0.8646240706310963
280,800,313.15,0.25,0.7993370879222726
281,800,313.15,0.5,0.8366910626477446
282,800,313.15,0.75,0.8491423875554027
283,800,313.15,1.0,0.8553680500086075
284,800,313.15,1.25,0.859103447480031
285,800,313.15,1.5,0.8615937124605637
286,800,313.15,1.75,0.8633724731605877
287,800,313.15,2.0,0.8647065436852936
288,800,318.15,0.25,0.7999973118357685
289,800,318.15,0.5,0.8370211744125792
290,800,318.15,0.75,0.8493624619373586
291,800,318.15,1.0,0.8555331056991307
