n_heliostats,receiver_area,max_heat_flux,avg_heat_flux,heat_stored,residence_time,particle_velocity,heliostat_efficiency,bdr_efficiency,solar_field_efficiency,receiver_efficiency,thermal_efficiency,mass_flow_rate,temp_parts_avg,temp_parts_max,temp_parts_min,temp_parts_std,iterations,solve_time_res,simulation_status,case_name,focal_height,receiver_power,thickness,simulation_time,success
2393,18.25682071006684,2.29219215875162,0.5,10.000132275416437,31.75911458660423,0.0722851152160137,0.755354575127001,0.8867591197908823,0.669632458523647,0.77043719452435,0.5159097527074017,31.290105007914228,1199.4016765264628,1369.5090124690614,950.0,117.34766859076487,6,False,standard,zf40_Q0.50_P10.0_tz0.030,40,10,0.03,391.49941635131836,True
2398,18.25682071006684,2.292741726906001,0.5,10.002458272748305,52.910387868625904,0.043388668076889084,0.755223265944492,0.8867433971718814,0.6695064672989463,0.7691543220692205,0.5149537929762797,31.319143866341783,1199.2338674289556,1371.1067644670038,950.0,116.92442425534726,6,False,standard,zf40_Q0.50_P10.0_tz0.050,40,10,0.05,59.29982948303223,True
2400,18.25682071006684,2.358377219149518,0.5,10.002437058161576,74.0480285927227,0.03100300306005562,0.7552901685510589,0.886510230264679,0.6693963907055444,0.7686381054409485,0.5145235735409185,31.292722727497402,1199.436702625766,1368.5301231111002,950.0,117.09012311258557,5,False,standard,zf40_Q0.50_P10.0_tz0.070,40,10,0.07,62.32035827636719,True
3659,18.25682071006684,2.8025618596747135,0.5,15.001761064309761,21.176286231238645,0.10840953092448766,0.7287403514825656,0.8637723575139311,0.6290734239736524,0.8046169704572567,0.5061631525928536,46.993762028774555,1199.1059723048818,1345.0591139760218,950.0,100.5529196279994,8,False,standard,zf40_Q0.50_P15.0_tz0.030,40,15,0.03,82.91652226448059,True
3651,18.25682071006684,2.7816001557182917,0.5,15.002785727557153,35.41952640800968,0.0648148490357037,0.7289199903752289,0.8638600068986825,0.6293002466675608,0.8061444409972522,0.5073068955692538,46.823038120114454,1200.0,1347.1179702681984,950.0,101.33877821361656,6,True,converged,zf40_Q0.50_P15.0_tz0.050,40,15,0.05,61.47374200820923,True
3653,18.25682071006684,2.8173973248166186,0.5,15.001817340083251,49.611168458215424,0.04627408159081782,0.7284580610629566,0.8644992986412755,0.6293552781460923,0.805580627951988,0.5069964201738271,46.8200444618232,1199.9999999999998,1348.6432455927245,950.0,101.46500863117632,10,True,converged,zf40_Q0.50_P15.0_tz0.070,40,15,0.07,96.92631793022156,True
5075,18.25682071006684,3.1811498037764037,0.5,20.02164599429586,15.855355454049686,0.14479090448047385,0.7048490933078896,0.834431730203574,0.587948654431543,0.8283903340005477,0.4870509822197185,62.80900692592329,1198.7516905713026,1336.528848279023,950.0,92.36344128628296,12,True,converged,zf40_Q0.50_P20.0_tz0.030,40,20,0.03,113.31725406646729,True
5078,18.25682071006684,3.2097587362761075,0.5,20.001525245474067,26.602147169133026,0.08629796844801405,0.7047218023399971,0.8346243089475411,0.5880024401214051,0.8269932820158351,0.48627406778932036,62.421434016226,1199.9999999999986,1335.016711886161,950.0,92.6542990084046,9,True,converged,zf40_Q0.50_P20.0_tz0.050,40,20,0.05,98.64210891723633,True
5086,18.25682071006684,3.1662870639280665,0.5,20.004759409336714,37.22190927638063,0.06167634336017321,0.7048396965606416,0.8341111665369491,0.5877265018391379,0.8262137041072263,0.48558769008649666,62.43152201581772,1200.0000000000002,1333.6601786201675,950.0,92.61322847164429,10,True,converged,zf40_Q0.50_P20.0_tz0.070,40,20,0.07,110.10040664672852,True
6755,18.25682071006684,3.572537482942636,0.5,25.002945177557418,12.707015985293006,0.18066485945310096,0.6863773688505808,0.7908555811940534,0.543180813422039,0.8412635763866677,0.45695823372404387,78.36090837368852,1198.976062646219,1327.6581423369921,950.0,87.78371990343419,15,True,converged,zf40_Q0.50_P25.0_tz0.030,40,25,0.03,110.37785530090332,True
